lugar,tipo_daño,entrecalles,colonia,calle,numero_exterior,atrapados,lesionados,desaparecidos,fallecidos,rescatados,link_google_maps,lon,lat,entidad,tipo_reporte,
,Derrumbe,Malitzin y Tlalpan,portales,,,,,,,,"https://www.google.com.mx/maps/@19.3660675,-99.1419683,3a,75y,336.07h,77.46t/data=!3m7!1e1!3m5!1siZBf75kCfSuoMwosq22YOA!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DiZBf75kCfSuoMwosq22YOA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D82.291176%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",-99.1420000000,19.3660000000,cdmx,proteccion civil,
,Derrumbe,lerdo y magnolia,guerrero,,,,,,,,"https://www.google.com.mx/maps/place/Magnolia+%26+Calle+de+Lerdo,+Guerrero,+06300+Ciudad+de+M%C3%A9xico,+CDMX/@19.4436439,-99.1473352,15.77z/data=!4m5!3m4!1s0x85d1f928580494bf:0x621e38149d887f13!8m2!3d19.4425777!4d-99.1428707?hl=es-419",-99.1463198000,19.4427896000,cdmx,,
,Derrumbe,Laredo y Amsterdam,condesa,,,sin determinar,sin determinar,,sin determinar,7,"https://www.google.com.mx/maps/place/Calle+Laredo,+Hip%C3%B3dromo,+06100+Ciudad+de+M%C3%A9xico,+CDMX/@19.412867,-99.1729945,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff4126bccd61:0xe23bc0036ea3f17a!8m2!3d19.4127856!4d-99.1707632",-99.1730000000,19.4130000000,cdmx,proteccion civil,
barda,Derrumbe,laguna de terminos y lago cuitzeo,anahuac,Laguna de Términos,,,,,,,"https://www.google.com.mx/maps/place/Laguna+de+T%C3%A9rminos+%26+Lago+Cuitzeo,+An%C3%A1huac+I+Secc.,+An%C3%A1huac+I+Secc,+11320+Ciudad+de+M%C3%A9xico,+CDMX/@19.4418086,-99.1765822,16.79z/data=!4m5!3m4!1s0x85d1f8b0a34b9f43:0x2a83cc77acf9f041!8m2!3d19.4424248!4d-99.1743969?hl=es-419",-99.1765822000,19.4418086000,cdmx,,
x,Derrumbe,guadalupe ramirez y pedro ramirez,barrio del rosario,,,,,,,,"https://www.google.com.mx/maps/place/Av.+Guadalupe+I.+Ram%C3%ADrez+%26+Calle+Pedro+Ram%C3%ADrez+del+Castillo,+San+Antonio,+16070+Ciudad+de+M%C3%A9xico,+CDMX/@19.2638972,-99.1058161,19z/data=!4m5!3m4!1s0x85ce015934d9f757:0x5c44c1036cf6577c!8m2!3d19.2638921!4d-99.1052689",-99.1060000000,19.2640000000,cdmx,proteccion civil,
iglesia,Derrumbe,guadalupe ramirez y 16 de septiembre,,,,,,,,,"https://www.google.com.mx/maps/place/Av.+Guadalupe+I.+Ram%C3%ADrez+%26+Av+16+de+Septiembre,+Santa+Mar%C3%ADa+Tepepan,+16020+Ciudad+de+M%C3%A9xico,+CDMX/@19.2724324,-99.1324038,19z/data=!4m5!3m4!1s0x85ce0116e3b64505:0xb4526c26cddc80a6!8m2!3d19.272559!4d-99.1317386?hl=es-419",-99.1324038000,19.2724324000,,,
residencial,Derrumbe,Gabriela Mancera y Eugenia,del valle,,,,,,,,"https://www.google.com/maps/place/Eugenia+%26+Calle+Gabriel+Mancera,+Col+del+Valle+Centro,+03100+Ciudad+de+M%C3%A9xico,+CDMX,+Mexico/@19.3866975,-99.1652675,18z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff0a449713c9:0xd918b1fb547dc470!8m2!3d19.3866975!4d-99.1641705",-99.1652675000,19.3866975000,,,
residencial,Derrumbe,gabriel mancera y escocia,del valle,Gabriel Mancera,734,3,50,,,,"https://www.google.com.mx/maps/place/Eje+2+Pte+%26+Escocia,+Col+del+Valle+Centro,+03100+Ciudad+de+M%C3%A9xico,+CDMX/@19.3883761,-99.165891,17.04z/data=!4m5!3m4!1s0x85d1ff0a4b50be57:0x6c453814a7dbe22d!8m2!3d19.3876699!4d-99.1639336?hl=es-419",-99.1640000000,19.3870000000,cdmx,proteccion civil,
,Derrumbe,ermita iztapalapa y calzada de la viga,bandijal,sur,71 a,,,,,,"https://www.google.com.mx/maps/place/Eje+2+Ote+%26+Ermita+Iztapalapa,+Mexicaltzingo,+09099+Ciudad+de+M%C3%A9xico,+CDMX/@19.3572272,-99.1222548,19.01z/data=!4m5!3m4!1s0x85d1fe15de58b285:0x3f5468416886d81b!8m2!3d19.3576245!4d-99.1219436?hl=es-419",-99.1220000000,19.3570000000,cdmx,proteccion civil,
,Derrumbe,eje 2 y amsterdam,Roma Norte,Ámsterdam,,,,,,,"https://www.google.com.mx/maps/@19.4128675,-99.1670705,3a,75y,189.32h,90t/data=!3m7!1e1!3m5!1ssWmFmlR2mr4H2-unELJsvw!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DsWmFmlR2mr4H2-unELJsvw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D188.80086%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",-99.1670705000,19.4128675000,Ciudad de México,,
residencial,Derrumbe,Cruce de calles Yacatas y Concepción Beiztegui,Narvarte,Yacatas,382,,,,,,"https://www.google.com.mx/maps/place/Calle+Yacatas+382,+Narvarte+Poniente,+03020+Ciudad+de+M%C3%A9xico,+CDMX/@19.3871067,-99.1583314,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff07e6cd1d4b:0xe521d0a26b647013!8m2!3d19.3871067!4d-99.1561427",-99.1560030000,19.3872230000,Ciudad de México,,
,Derrumbe,comonfort y jaime nuno,morelos,,,,,,,,"https://www.google.com.mx/maps/place/Calle+Comonfort+%26+Calle+Jaime+Nuno,+Lagunilla,+Morelos,+06200+Ciudad+de+M%C3%A9xico,+CDMX/@19.4450774,-99.1366387,17.4z/data=!4m5!3m4!1s0x85d1f92ff8776557:0x3a91717851d0a4d2!8m2!3d19.4451506!4d-99.1350862?hl=es-419",-99.1372099000,19.4456975000,cdmx,,
